tissue101,Introduction to Tissue Engineering,en,https://www.coursera.org/maestro/api/topic/information?topic-id=tissue101
dynamicalmodeling,Dynamical Modeling Methods for Systems Biology,en,https://www.coursera.org/maestro/api/topic/information?topic-id=dynamicalmodeling
pdstatistics,Passion Driven Statistics,en,https://www.coursera.org/maestro/api/topic/information?topic-id=pdstatistics
cs101,Computer Science 101,en,https://www.coursera.org/maestro/api/topic/information?topic-id=cs101
db,Introduction to Databases,en,https://www.coursera.org/maestro/api/topic/information?topic-id=db
intrologic,Introduction to Logic,en,https://www.coursera.org/maestro/api/topic/information?topic-id=intrologic
compilers,Compilers,en,https://www.coursera.org/maestro/api/topic/information?topic-id=compilers
security,Computer Security,en,https://www.coursera.org/maestro/api/topic/information?topic-id=security
android,Programming Handheld Systems with Android,en,https://www.coursera.org/maestro/api/topic/information?topic-id=android
introstats,Statistics: Making Sense of Data,en,https://www.coursera.org/maestro/api/topic/information?topic-id=introstats
algebra,Intermediate Algebra,en,https://www.coursera.org/maestro/api/topic/information?topic-id=algebra
neuralnets,Neural Networks for Machine Learning,en,https://www.coursera.org/maestro/api/topic/information?topic-id=neuralnets
ml,Machine Learning,en,https://www.coursera.org/maestro/api/topic/information?topic-id=ml
introse,Introduction to Systems Engineering,en,https://www.coursera.org/maestro/api/topic/information?topic-id=introse
datan,Core Concepts in Data Analysis,en,https://www.coursera.org/maestro/api/topic/information?topic-id=datan
statistics,Data Analysis and Statistical Inference ,en,https://www.coursera.org/maestro/api/topic/information?topic-id=statistics
biostats2,Mathematical Biostatistics Boot Camp 2,en,https://www.coursera.org/maestro/api/topic/information?topic-id=biostats2
digitalsystems,Digital Systems - Sistemas Digitales: De las puertas lógicas al procesador,en,https://www.coursera.org/maestro/api/topic/information?topic-id=digitalsystems
pkubioinfo,Bioinformatics: Introduction and Methods 生物信息学: 导论与方法,zh-Hans,https://www.coursera.org/maestro/api/topic/information?topic-id=pkubioinfo
graph,工程圖學,zh-Hant,https://www.coursera.org/maestro/api/topic/information?topic-id=graph
dsp,Digital Signal Processing,en,https://www.coursera.org/maestro/api/topic/information?topic-id=dsp
hwswinterface,The Hardware/Software Interface,en,https://www.coursera.org/maestro/api/topic/information?topic-id=hwswinterface
maththink,Introduction to Mathematical Thinking,en,https://www.coursera.org/maestro/api/topic/information?topic-id=maththink
design,Design: Creation of Artifacts in Society,en,https://www.coursera.org/maestro/api/topic/information?topic-id=design
crypto2,Cryptography II,en,https://www.coursera.org/maestro/api/topic/information?topic-id=crypto2
hetero,Heterogeneous Parallel Programming,en,https://www.coursera.org/maestro/api/topic/information?topic-id=hetero
functionalanalysis,An Introduction to Functional Analysis,en,https://www.coursera.org/maestro/api/topic/information?topic-id=functionalanalysis
childliteracy,Children Acquiring Literacy Naturally,en,https://www.coursera.org/maestro/api/topic/information?topic-id=childliteracy
maps,Maps and the Geospatial Revolution,en,https://www.coursera.org/maestro/api/topic/information?topic-id=maps
cic,"Creativity, Innovation, and Change",en,https://www.coursera.org/maestro/api/topic/information?topic-id=cic
intro-cpp-fr,Initiation à la programmation (en C++),fr,https://www.coursera.org/maestro/api/topic/information?topic-id=intro-cpp-fr
intro-java-fr,Initiation à la programmation (en Java),fr,https://www.coursera.org/maestro/api/topic/information?topic-id=intro-java-fr
cpp-fr,Introduction à la programmation orientée objet (en C++),fr,https://www.coursera.org/maestro/api/topic/information?topic-id=cpp-fr
metadata,Metadata: Organizing and Discovering Information,en,https://www.coursera.org/maestro/api/topic/information?topic-id=metadata
molevol,Computational Molecular Evolution,en,https://www.coursera.org/maestro/api/topic/information?topic-id=molevol
newwayhealthcare,Interprofessional Healthcare Informatics,en,https://www.coursera.org/maestro/api/topic/information?topic-id=newwayhealthcare
introthermodynamics,Introduction to Thermodynamics: Transferring Energy from Here to There,en,https://www.coursera.org/maestro/api/topic/information?topic-id=introthermodynamics
gameprogramming,Beginning Game Programming with C#,en,https://www.coursera.org/maestro/api/topic/information?topic-id=gameprogramming
programming1,Learn to Program: The Fundamentals,en,https://www.coursera.org/maestro/api/topic/information?topic-id=programming1
dataanalysis,Data Analysis,en,https://www.coursera.org/maestro/api/topic/information?topic-id=dataanalysis
compdata,Computing for Data Analysis,en,https://www.coursera.org/maestro/api/topic/information?topic-id=compdata
programming2,Learn to Program: Crafting Quality Code,en,https://www.coursera.org/maestro/api/topic/information?topic-id=programming2
biostats,Mathematical Biostatistics Boot Camp 1,en,https://www.coursera.org/maestro/api/topic/information?topic-id=biostats
spobuildaerodynamics,Sports and Building Aerodynamics,en,https://www.coursera.org/maestro/api/topic/information?topic-id=spobuildaerodynamics
eefunlab,Fundamentals of Electrical Engineering Laboratory,en,https://www.coursera.org/maestro/api/topic/information?topic-id=eefunlab
precalc,Pre-Calculus,es,https://www.coursera.org/maestro/api/topic/information?topic-id=precalc
precalculo,Matemáticas y movimiento,es,https://www.coursera.org/maestro/api/topic/information?topic-id=precalculo
randomness,"Unpredictable? Randomness, Chance and Free Will",en,https://www.coursera.org/maestro/api/topic/information?topic-id=randomness
staticsofobjects,Structure Standing Still: The Statics of Everyday Objects,en,https://www.coursera.org/maestro/api/topic/information?topic-id=staticsofobjects
nuclearscience,A Look at Nuclear Science and Technology,en,https://www.coursera.org/maestro/api/topic/information?topic-id=nuclearscience
cyhfisica,Conceptos y Herramientas para la Física Universitaria,es,https://www.coursera.org/maestro/api/topic/information?topic-id=cyhfisica
inf4oec,Informatik für Ökonomen,de,https://www.coursera.org/maestro/api/topic/information?topic-id=inf4oec
sequence,Calculus Two: Sequences and Series,en,https://www.coursera.org/maestro/api/topic/information?topic-id=sequence
crypto,Cryptography I,en,https://www.coursera.org/maestro/api/topic/information?topic-id=crypto
bioinfo,Введение в биоинформатику: биоинформатика в биологии и медицине,ru,https://www.coursera.org/maestro/api/topic/information?topic-id=bioinfo
fe1,Financial Engineering and Risk Management Part I,en,https://www.coursera.org/maestro/api/topic/information?topic-id=fe1
introgalois,Introduction à la théorie de Galois,fr,https://www.coursera.org/maestro/api/topic/information?topic-id=introgalois
precalculus,Pre-Calculus,en,https://www.coursera.org/maestro/api/topic/information?topic-id=precalculus
mathematicalmethods,Mathematical Methods for Quantitative Finance,en,https://www.coursera.org/maestro/api/topic/information?topic-id=mathematicalmethods
nanosar,التقانة والمستشعرات النانوية,ar,https://www.coursera.org/maestro/api/topic/information?topic-id=nanosar
statics1,Introduction to Engineering Mechanics,en,https://www.coursera.org/maestro/api/topic/information?topic-id=statics1
calc1,Calculus One,en,https://www.coursera.org/maestro/api/topic/information?topic-id=calc1
ni,Networks Illustrated: Principles without Calculus,en,https://www.coursera.org/maestro/api/topic/information?topic-id=ni
mosfet,MOS Transistors,en,https://www.coursera.org/maestro/api/topic/information?topic-id=mosfet
sdt,Surviving Disruptive Technologies,en,https://www.coursera.org/maestro/api/topic/information?topic-id=sdt
reactive,Principles of Reactive Programming,en,https://www.coursera.org/maestro/api/topic/information?topic-id=reactive
proglang,Programming Languages,en,https://www.coursera.org/maestro/api/topic/information?topic-id=proglang
progfun,Functional Programming Principles in Scala,en,https://www.coursera.org/maestro/api/topic/information?topic-id=progfun
scicomp,High Performance Scientific Computing,en,https://www.coursera.org/maestro/api/topic/information?topic-id=scicomp
casebasedbiostat,Case-Based Introduction to Biostatistics,en,https://www.coursera.org/maestro/api/topic/information?topic-id=casebasedbiostat
globalhighered,Globalizing Higher Education and Research for the ‘Knowledge Economy’,en,https://www.coursera.org/maestro/api/topic/information?topic-id=globalhighered
videogameslearning,Video Games and Learning,en,https://www.coursera.org/maestro/api/topic/information?topic-id=videogameslearning
startup,Startup Engineering,en,https://www.coursera.org/maestro/api/topic/information?topic-id=startup
techcity,TechniCity,en,https://www.coursera.org/maestro/api/topic/information?topic-id=techcity
phys1,Introductory Physics I with Laboratory,en,https://www.coursera.org/maestro/api/topic/information?topic-id=phys1
votingfairdiv,"Making Better Group Decisions: Voting, Judgement Aggregation and Fair Division",en,https://www.coursera.org/maestro/api/topic/information?topic-id=votingfairdiv
smac,Statistical Mechanics: Algorithms and Computations,en,https://www.coursera.org/maestro/api/topic/information?topic-id=smac
nanosensors,Nanotechnology and Nanosensors,en,https://www.coursera.org/maestro/api/topic/information?topic-id=nanosensors
digitalmedia,Creative Programming for Digital Media & Mobile Apps,en,https://www.coursera.org/maestro/api/topic/information?topic-id=digitalmedia
linearopt,Linear and Discrete Optimization,en,https://www.coursera.org/maestro/api/topic/information?topic-id=linearopt
pkuic,Introduction to Computing 计算概论A,zh-Hans,https://www.coursera.org/maestro/api/topic/information?topic-id=pkuic
astrotech,AstroTech: The Science and Technology behind Astronomical Discovery,en,https://www.coursera.org/maestro/api/topic/information?topic-id=astrotech
creatividad,Ser más creativos,es,https://www.coursera.org/maestro/api/topic/information?topic-id=creatividad
assetpricing,Asset Pricing,en,https://www.coursera.org/maestro/api/topic/information?topic-id=assetpricing
highered,History and Future of (Mostly) Higher Education,en,https://www.coursera.org/maestro/api/topic/information?topic-id=highered
complexanalysis,Analysis of a Complex Kind,en,https://www.coursera.org/maestro/api/topic/information?topic-id=complexanalysis
images,Image and video processing: From Mars to Hollywood with a stop at the hospital,en,https://www.coursera.org/maestro/api/topic/information?topic-id=images
friendsmoneybytes,"Networks: Friends, Money, and Bytes",en,https://www.coursera.org/maestro/api/topic/information?topic-id=friendsmoneybytes
insidetheinternet,"Internet History, Technology, and Security",en,https://www.coursera.org/maestro/api/topic/information?topic-id=insidetheinternet
logic1,Logic: Language and Information 1,en,https://www.coursera.org/maestro/api/topic/information?topic-id=logic1
logic2,Logic: Language and Information 2,en,https://www.coursera.org/maestro/api/topic/information?topic-id=logic2
contentstrategy,Content Strategy for Professionals: Engaging Audiences for Your Organization,en,https://www.coursera.org/maestro/api/topic/information?topic-id=contentstrategy
digital,Fundamentals of Digital Image and Video Processing,en,https://www.coursera.org/maestro/api/topic/information?topic-id=digital
linearprogramming,Linear and Integer Programming,en,https://www.coursera.org/maestro/api/topic/information?topic-id=linearprogramming
introtolca,How Green Is That Product? An Introduction to Life Cycle Environmental Assessment,en,https://www.coursera.org/maestro/api/topic/information?topic-id=introtolca
googlemedia,Understanding Media by Understanding Google,en,https://www.coursera.org/maestro/api/topic/information?topic-id=googlemedia
powerelectronics,Introduction to Power Electronics,en,https://www.coursera.org/maestro/api/topic/information?topic-id=powerelectronics
